state,year,race,offense,offenders
AL,2013,Asian,motor-vehicle-theft,0
AL,2014,Asian,motor-vehicle-theft,0
AL,2015,Asian,motor-vehicle-theft,1
AL,2016,Asian,motor-vehicle-theft,0
AL,2017,Asian,motor-vehicle-theft,0
AL,2018,Asian,motor-vehicle-theft,0
AL,2010,Native Hawaiian,motor-vehicle-theft,0
AL,2011,Native Hawaiian,motor-vehicle-theft,0
AL,2012,Native Hawaiian,motor-vehicle-theft,0
AL,2013,Native Hawaiian,motor-vehicle-theft,0
AL,2014,Native Hawaiian,motor-vehicle-theft,0
AL,2015,Native Hawaiian,motor-vehicle-theft,0
AL,2016,Native Hawaiian,motor-vehicle-theft,0
AL,2017,Native Hawaiian,motor-vehicle-theft,0
AL,2018,Native Hawaiian,motor-vehicle-theft,0
AL,2010,Black or African American,motor-vehicle-theft,30
AL,2011,Black or African American,motor-vehicle-theft,19
AL,2012,Black or African American,motor-vehicle-theft,24
AL,2013,Black or African American,motor-vehicle-theft,30
AL,2014,Black or African American,motor-vehicle-theft,32
AL,2015,Black or African American,motor-vehicle-theft,9
AL,2016,Black or African American,motor-vehicle-theft,8
AL,2017,Black or African American,motor-vehicle-theft,10
AL,2018,Black or African American,motor-vehicle-theft,8
AL,2010,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2011,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2012,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2013,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2014,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2015,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2016,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2017,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2018,American Indian or Alaska Native,motor-vehicle-theft,0
AL,2010,White,motor-vehicle-theft,36
AL,2011,White,motor-vehicle-theft,37
AL,2012,White,motor-vehicle-theft,31
AL,2013,White,motor-vehicle-theft,34
AL,2014,White,motor-vehicle-theft,9
AL,2015,White,motor-vehicle-theft,11
AL,2016,White,motor-vehicle-theft,10
AL,2017,White,motor-vehicle-theft,11
AL,2018,White,motor-vehicle-theft,4
AL,2010,Unknown,motor-vehicle-theft,2
AL,2011,Unknown,motor-vehicle-theft,0
AL,2012,Unknown,motor-vehicle-theft,0
AL,2013,Unknown,motor-vehicle-theft,1
AL,2014,Unknown,motor-vehicle-theft,0
AL,2015,Unknown,motor-vehicle-theft,1
AL,2016,Unknown,motor-vehicle-theft,2
AL,2017,Unknown,motor-vehicle-theft,1
AL,2018,Unknown,motor-vehicle-theft,43
AL,2010,Asian,homicide,0
AL,2012,Asian,homicide,0
AL,2013,Asian,homicide,0
AL,2014,Asian,homicide,0
AL,2015,Asian,homicide,0
AL,2016,Asian,homicide,0
AL,2017,Asian,homicide,0
AL,2018,Asian,homicide,0
AL,2010,Native Hawaiian,homicide,0
AL,2012,Native Hawaiian,homicide,0
AL,2013,Native Hawaiian,homicide,0
AL,2014,Native Hawaiian,homicide,0
AL,2015,Native Hawaiian,homicide,0
AL,2016,Native Hawaiian,homicide,0
AL,2017,Native Hawaiian,homicide,0
AL,2018,Native Hawaiian,homicide,0
AL,2010,Black or African American,homicide,3
AL,2012,Black or African American,homicide,1
AL,2013,Black or African American,homicide,1
AL,2014,Black or African American,homicide,1
AL,2015,Black or African American,homicide,2
AL,2016,Black or African American,homicide,2
AL,2017,Black or African American,homicide,3
AL,2018,Black or African American,homicide,1
AL,2010,American Indian or Alaska Native,homicide,0
AL,2012,American Indian or Alaska Native,homicide,0
AL,2013,American Indian or Alaska Native,homicide,0
AL,2014,American Indian or Alaska Native,homicide,0
AL,2015,American Indian or Alaska Native,homicide,0
AL,2016,American Indian or Alaska Native,homicide,0
AL,2017,American Indian or Alaska Native,homicide,0
AL,2018,American Indian or Alaska Native,homicide,0
AL,2010,White,homicide,0
AL,2012,White,homicide,1
AL,2013,White,homicide,1
AL,2014,White,homicide,0
AL,2015,White,homicide,1
AL,2016,White,homicide,2
AL,2017,White,homicide,0
AL,2018,White,homicide,0
AL,2010,Unknown,homicide,0
AL,2012,Unknown,homicide,0
AL,2013,Unknown,homicide,0
AL,2014,Unknown,homicide,0
AL,2015,Unknown,homicide,0
AL,2016,Unknown,homicide,0
AL,2017,Unknown,homicide,0
AL,2018,Unknown,homicide,3
AL,2010,Asian,rape,0
AL,2011,Asian,rape,0
AL,2012,Asian,rape,0
AL,2013,Asian,rape,0
AL,2014,Asian,rape,0
AL,2015,Asian,rape,1
AL,2016,Asian,rape,0
AL,2017,Asian,rape,0
AL,2018,Asian,rape,0
AL,2010,Native Hawaiian,rape,0
AL,2011,Native Hawaiian,rape,0
AL,2012,Native Hawaiian,rape,0
AL,2013,Native Hawaiian,rape,0
AL,2014,Native Hawaiian,rape,0
AL,2015,Native Hawaiian,rape,0
AL,2016,Native Hawaiian,rape,0
AL,2017,Native Hawaiian,rape,0
AL,2018,Native Hawaiian,rape,0
AL,2010,Black or African American,rape,3
AL,2011,Black or African American,rape,4
AL,2012,Black or African American,rape,9
AL,2013,Black or African American,rape,6
AL,2014,Black or African American,rape,6
AL,2015,Black or African American,rape,13
AL,2016,Black or African American,rape,10
AL,2017,Black or African American,rape,13
AL,2018,Black or African American,rape,9
AL,2010,American Indian or Alaska Native,rape,0
AL,2011,American Indian or Alaska Native,rape,0
AL,2012,American Indian or Alaska Native,rape,0
AL,2013,American Indian or Alaska Native,rape,0
AL,2014,American Indian or Alaska Native,rape,0
AL,2015,American Indian or Alaska Native,rape,0
AL,2016,American Indian or Alaska Native,rape,0
AL,2017,American Indian or Alaska Native,rape,0
AL,2018,American Indian or Alaska Native,rape,0
AL,2010,White,rape,1
AL,2011,White,rape,3
AL,2012,White,rape,9
AL,2013,White,rape,7
AL,2014,White,rape,11
AL,2015,White,rape,8
AL,2016,White,rape,9
AL,2017,White,rape,8
AL,2018,White,rape,6
AL,2010,Unknown,rape,0
AL,2011,Unknown,rape,0
AL,2012,Unknown,rape,0
AL,2013,Unknown,rape,0
AL,2014,Unknown,rape,0
AL,2015,Unknown,rape,0
AL,2016,Unknown,rape,2
AL,2017,Unknown,rape,0
AL,2018,Unknown,rape,0
AL,2010,Asian,robbery,0
AL,2011,Asian,robbery,0
AL,2012,Asian,robbery,0
AL,2013,Asian,robbery,0
AL,2014,Asian,robbery,0
AL,2015,Asian,robbery,0
AL,2016,Asian,robbery,0
AL,2017,Asian,robbery,0
AL,2018,Asian,robbery,0
AL,2010,Native Hawaiian,robbery,0
AL,2011,Native Hawaiian,robbery,0
AL,2012,Native Hawaiian,robbery,0
AL,2013,Native Hawaiian,robbery,0
AL,2014,Native Hawaiian,robbery,0
AL,2015,Native Hawaiian,robbery,0
AL,2016,Native Hawaiian,robbery,0
AL,2017,Native Hawaiian,robbery,0
AL,2018,Native Hawaiian,robbery,0
AL,2010,Black or African American,robbery,63
AL,2011,Black or African American,robbery,48
AL,2012,Black or African American,robbery,53
AL,2013,Black or African American,robbery,49
AL,2014,Black or African American,robbery,55
AL,2015,Black or African American,robbery,47
AL,2016,Black or African American,robbery,39
AL,2017,Black or African American,robbery,26
AL,2018,Black or African American,robbery,21
AL,2010,American Indian or Alaska Native,robbery,0
AL,2011,American Indian or Alaska Native,robbery,0
AL,2012,American Indian or Alaska Native,robbery,0
AL,2013,American Indian or Alaska Native,robbery,0
AL,2014,American Indian or Alaska Native,robbery,0
AL,2015,American Indian or Alaska Native,robbery,1
AL,2016,American Indian or Alaska Native,robbery,0
AL,2017,American Indian or Alaska Native,robbery,0
AL,2018,American Indian or Alaska Native,robbery,0
AL,2010,White,robbery,14
AL,2011,White,robbery,15
AL,2012,White,robbery,20
AL,2013,White,robbery,2
AL,2014,White,robbery,13
AL,2015,White,robbery,18
AL,2016,White,robbery,16
AL,2017,White,robbery,16
AL,2018,White,robbery,10
AL,2010,Unknown,robbery,2
AL,2011,Unknown,robbery,0
AL,2012,Unknown,robbery,0
AL,2013,Unknown,robbery,2
AL,2014,Unknown,robbery,0
AL,2015,Unknown,robbery,3
AL,2016,Unknown,robbery,2
AL,2017,Unknown,robbery,0
AL,2018,Unknown,robbery,4
AL,2010,Asian,arson,0
AL,2011,Asian,arson,0
AL,2012,Asian,arson,0
AL,2013,Asian,arson,0
AL,2014,Asian,arson,0
AL,2015,Asian,arson,0
AL,2016,Asian,arson,0
AL,2017,Asian,arson,0
AL,2010,Native Hawaiian,arson,0
AL,2011,Native Hawaiian,arson,0
AL,2012,Native Hawaiian,arson,0
AL,2013,Native Hawaiian,arson,0
AL,2014,Native Hawaiian,arson,0
AL,2015,Native Hawaiian,arson,0
AL,2016,Native Hawaiian,arson,0
AL,2017,Native Hawaiian,arson,0
AL,2010,Black or African American,arson,2
AL,2011,Black or African American,arson,1
AL,2012,Black or African American,arson,2
AL,2013,Black or African American,arson,0
AL,2014,Black or African American,arson,0
AL,2015,Black or African American,arson,0
AL,2016,Black or African American,arson,3
AL,2017,Black or African American,arson,0
AL,2010,American Indian or Alaska Native,arson,0
AL,2011,American Indian or Alaska Native,arson,0
AL,2012,American Indian or Alaska Native,arson,0
AL,2013,American Indian or Alaska Native,arson,0
AL,2014,American Indian or Alaska Native,arson,0
AL,2015,American Indian or Alaska Native,arson,0
AL,2016,American Indian or Alaska Native,arson,0
AL,2017,American Indian or Alaska Native,arson,0
AL,2010,White,arson,0
AL,2011,White,arson,1
AL,2012,White,arson,0
AL,2013,White,arson,0
AL,2014,White,arson,1
AL,2015,White,arson,0
AL,2016,White,arson,0
AL,2017,White,arson,1
AL,2010,Unknown,arson,0
AL,2011,Unknown,arson,0
AL,2012,Unknown,arson,0
AL,2013,Unknown,arson,0
AL,2014,Unknown,arson,0
AL,2015,Unknown,arson,0
AL,2016,Unknown,arson,0
AL,2017,Unknown,arson,0
AL,2010,Asian,violent-crime,0
AL,2011,Asian,violent-crime,0
AL,2012,Asian,violent-crime,0
AL,2013,Asian,violent-crime,0
AL,2014,Asian,violent-crime,0
AL,2015,Asian,violent-crime,1
AL,2016,Asian,violent-crime,0
AL,2017,Asian,violent-crime,0
AL,2018,Asian,violent-crime,0
AL,2010,Native Hawaiian,violent-crime,0
AL,2011,Native Hawaiian,violent-crime,0
AL,2012,Native Hawaiian,violent-crime,0
AL,2013,Native Hawaiian,violent-crime,0
AL,2014,Native Hawaiian,violent-crime,0
AL,2015,Native Hawaiian,violent-crime,0
AL,2016,Native Hawaiian,violent-crime,0
AL,2017,Native Hawaiian,violent-crime,0
AL,2018,Native Hawaiian,violent-crime,0
AL,2010,Black or African American,violent-crime,81
AL,2011,Black or African American,violent-crime,65
AL,2012,Black or African American,violent-crime,75
AL,2013,Black or African American,violent-crime,73
AL,2014,Black or African American,violent-crime,83
AL,2015,Black or African American,violent-crime,87
AL,2016,Black or African American,violent-crime,77
AL,2017,Black or African American,violent-crime,61
AL,2018,Black or African American,violent-crime,37
AL,2010,American Indian or Alaska Native,violent-crime,0
AL,2011,American Indian or Alaska Native,violent-crime,0
AL,2012,American Indian or Alaska Native,violent-crime,0
AL,2013,American Indian or Alaska Native,violent-crime,0
AL,2014,American Indian or Alaska Native,violent-crime,0
AL,2015,American Indian or Alaska Native,violent-crime,1
AL,2016,American Indian or Alaska Native,violent-crime,0
AL,2017,American Indian or Alaska Native,violent-crime,0
AL,2018,American Indian or Alaska Native,violent-crime,0
AL,2010,White,violent-crime,24
AL,2011,White,violent-crime,22
AL,2012,White,violent-crime,43
AL,2013,White,violent-crime,19
AL,2014,White,violent-crime,34
AL,2015,White,violent-crime,48
AL,2016,White,violent-crime,42
AL,2017,White,violent-crime,36
AL,2018,White,violent-crime,21
AL,2010,Unknown,violent-crime,2
AL,2011,Unknown,violent-crime,0
AL,2012,Unknown,violent-crime,0
AL,2013,Unknown,violent-crime,2
AL,2014,Unknown,violent-crime,0
AL,2015,Unknown,violent-crime,5
AL,2016,Unknown,violent-crime,5
AL,2017,Unknown,violent-crime,0
AL,2018,Unknown,violent-crime,11
AL,2010,Asian,property-crime,8
AL,2011,Asian,property-crime,17
AL,2012,Asian,property-crime,7
AL,2013,Asian,property-crime,9
AL,2014,Asian,property-crime,11
AL,2015,Asian,property-crime,19
AL,2016,Asian,property-crime,1
AL,2017,Asian,property-crime,5
AL,2018,Asian,property-crime,1
AL,2010,Native Hawaiian,property-crime,0
AL,2011,Native Hawaiian,property-crime,0
AL,2012,Native Hawaiian,property-crime,0
AL,2013,Native Hawaiian,property-crime,0
AL,2014,Native Hawaiian,property-crime,0
AL,2015,Native Hawaiian,property-crime,0
AL,2016,Native Hawaiian,property-crime,0
AL,2017,Native Hawaiian,property-crime,0
AL,2018,Native Hawaiian,property-crime,0
AL,2010,Black or African American,property-crime,660
AL,2011,Black or African American,property-crime,587
AL,2012,Black or African American,property-crime,695
AL,2013,Black or African American,property-crime,795
AL,2014,Black or African American,property-crime,766
AL,2015,Black or African American,property-crime,688
AL,2016,Black or African American,property-crime,295
AL,2017,Black or African American,property-crime,195
AL,2018,Black or African American,property-crime,203
AL,2010,American Indian or Alaska Native,property-crime,0
AL,2011,American Indian or Alaska Native,property-crime,0
AL,2012,American Indian or Alaska Native,property-crime,0
AL,2013,American Indian or Alaska Native,property-crime,0
AL,2014,American Indian or Alaska Native,property-crime,0
AL,2015,American Indian or Alaska Native,property-crime,2
AL,2016,American Indian or Alaska Native,property-crime,0
AL,2017,American Indian or Alaska Native,property-crime,0
AL,2018,American Indian or Alaska Native,property-crime,0
AL,2010,White,property-crime,630
AL,2011,White,property-crime,674
AL,2012,White,property-crime,747
AL,2013,White,property-crime,728
AL,2014,White,property-crime,795
AL,2015,White,property-crime,890
AL,2016,White,property-crime,247
AL,2017,White,property-crime,172
AL,2018,White,property-crime,173
AL,2010,Unknown,property-crime,20
AL,2011,Unknown,property-crime,39
AL,2012,Unknown,property-crime,14
AL,2013,Unknown,property-crime,17
AL,2014,Unknown,property-crime,10
AL,2015,Unknown,property-crime,36
AL,2016,Unknown,property-crime,25
AL,2017,Unknown,property-crime,8
AL,2018,Unknown,property-crime,607
AR,2010,Asian,aggravated-assault,47
AR,2011,Asian,aggravated-assault,38
AR,2012,Asian,aggravated-assault,55
AR,2013,Asian,aggravated-assault,32
AR,2014,Asian,aggravated-assault,18
AR,2015,Asian,aggravated-assault,39
AR,2016,Asian,aggravated-assault,49
AR,2017,Asian,aggravated-assault,34
AR,2018,Asian,aggravated-assault,60
AR,2010,Native Hawaiian,aggravated-assault,0
AR,2011,Native Hawaiian,aggravated-assault,0
AR,2012,Native Hawaiian,aggravated-assault,0
AR,2013,Native Hawaiian,aggravated-assault,0
AR,2014,Native Hawaiian,aggravated-assault,0
AR,2015,Native Hawaiian,aggravated-assault,0
AR,2016,Native Hawaiian,aggravated-assault,0
AR,2017,Native Hawaiian,aggravated-assault,0
AR,2018,Native Hawaiian,aggravated-assault,0
AR,2010,Black or African American,aggravated-assault,4763
AR,2011,Black or African American,aggravated-assault,4595
AR,2012,Black or African American,aggravated-assault,4390
AR,2013,Black or African American,aggravated-assault,3995
AR,2014,Black or African American,aggravated-assault,4018
AR,2015,Black or African American,aggravated-assault,4576
AR,2016,Black or African American,aggravated-assault,4495
AR,2017,Black or African American,aggravated-assault,4632
AR,2018,Black or African American,aggravated-assault,4708
AR,2010,American Indian or Alaska Native,aggravated-assault,10
AR,2011,American Indian or Alaska Native,aggravated-assault,12
AR,2012,American Indian or Alaska Native,aggravated-assault,13
AR,2013,American Indian or Alaska Native,aggravated-assault,9
AR,2014,American Indian or Alaska Native,aggravated-assault,10
AR,2015,American Indian or Alaska Native,aggravated-assault,14
AR,2016,American Indian or Alaska Native,aggravated-assault,18
AR,2017,American Indian or Alaska Native,aggravated-assault,20
AR,2018,American Indian or Alaska Native,aggravated-assault,14
AR,2010,White,aggravated-assault,4742
AR,2011,White,aggravated-assault,4838
AR,2012,White,aggravated-assault,4737
AR,2013,White,aggravated-assault,4461
AR,2014,White,aggravated-assault,4624
AR,2015,White,aggravated-assault,5249
AR,2016,White,aggravated-assault,5319
AR,2017,White,aggravated-assault,5141
AR,2018,White,aggravated-assault,5424
AR,2010,Unknown,aggravated-assault,624
AR,2011,Unknown,aggravated-assault,768
AR,2012,Unknown,aggravated-assault,777
AR,2013,Unknown,aggravated-assault,840
AR,2014,Unknown,aggravated-assault,836
AR,2015,Unknown,aggravated-assault,953
AR,2016,Unknown,aggravated-assault,995
AR,2017,Unknown,aggravated-assault,1063
AR,2018,Unknown,aggravated-assault,994
AR,2010,Asian,burglary,51
AR,2011,Asian,burglary,35
AR,2012,Asian,burglary,50
AR,2013,Asian,burglary,29
AR,2014,Asian,burglary,16
AR,2015,Asian,burglary,27
AR,2016,Asian,burglary,17
AR,2017,Asian,burglary,18
AR,2018,Asian,burglary,20
AR,2010,Native Hawaiian,burglary,0
AR,2011,Native Hawaiian,burglary,0
AR,2012,Native Hawaiian,burglary,0
AR,2013,Native Hawaiian,burglary,0
AR,2014,Native Hawaiian,burglary,0
AR,2015,Native Hawaiian,burglary,0
AR,2016,Native Hawaiian,burglary,0
AR,2017,Native Hawaiian,burglary,0
AR,2018,Native Hawaiian,burglary,0
AR,2010,Black or African American,burglary,4563
AR,2011,Black or African American,burglary,4837
AR,2012,Black or African American,burglary,4478
AR,2013,Black or African American,burglary,3962
AR,2014,Black or African American,burglary,3298
AR,2015,Black or African American,burglary,3048
AR,2016,Black or African American,burglary,3141
AR,2017,Black or African American,burglary,2943
AR,2018,Black or African American,burglary,2697
AR,2010,American Indian or Alaska Native,burglary,13
AR,2011,American Indian or Alaska Native,burglary,10
AR,2012,American Indian or Alaska Native,burglary,12
AR,2013,American Indian or Alaska Native,burglary,18
AR,2014,American Indian or Alaska Native,burglary,11
AR,2015,American Indian or Alaska Native,burglary,12
AR,2016,American Indian or Alaska Native,burglary,15
AR,2017,American Indian or Alaska Native,burglary,13
AR,2018,American Indian or Alaska Native,burglary,21
AR,2010,White,burglary,6501
AR,2011,White,burglary,7064
AR,2012,White,burglary,7880
AR,2013,White,burglary,7408
AR,2014,White,burglary,6554
AR,2015,White,burglary,6270
AR,2016,White,burglary,6476
AR,2017,White,burglary,5951
AR,2018,White,burglary,5554
AR,2010,Unknown,burglary,13421
AR,2011,Unknown,burglary,15480
AR,2012,Unknown,burglary,14749
AR,2013,Unknown,burglary,13026
AR,2014,Unknown,burglary,10595
AR,2015,Unknown,burglary,9861
AR,2016,Unknown,burglary,10489
AR,2017,Unknown,burglary,9455
AR,2018,Unknown,burglary,8379
AR,2010,Asian,larceny,218
AR,2011,Asian,larceny,231
AR,2012,Asian,larceny,280
AR,2013,Asian,larceny,233
AR,2014,Asian,larceny,105
AR,2015,Asian,larceny,117
AR,2016,Asian,larceny,120
AR,2017,Asian,larceny,102
AR,2018,Asian,larceny,205
AR,2010,Native Hawaiian,larceny,0
AR,2011,Native Hawaiian,larceny,0
AR,2012,Native Hawaiian,larceny,0
AR,2013,Native Hawaiian,larceny,0
AR,2014,Native Hawaiian,larceny,0
AR,2015,Native Hawaiian,larceny,0
AR,2016,Native Hawaiian,larceny,0
AR,2017,Native Hawaiian,larceny,0
AR,2018,Native Hawaiian,larceny,0
AR,2010,Black or African American,larceny,13329
AR,2011,Black or African American,larceny,14468
AR,2012,Black or African American,larceny,14299
AR,2013,Black or African American,larceny,13329
AR,2014,Black or African American,larceny,12811
AR,2015,Black or African American,larceny,12564
AR,2016,Black or African American,larceny,11388
AR,2017,Black or African American,larceny,11318
AR,2018,Black or African American,larceny,11661
AR,2010,American Indian or Alaska Native,larceny,60
AR,2011,American Indian or Alaska Native,larceny,86
AR,2012,American Indian or Alaska Native,larceny,62
AR,2013,American Indian or Alaska Native,larceny,89
AR,2014,American Indian or Alaska Native,larceny,65
AR,2015,American Indian or Alaska Native,larceny,88
AR,2016,American Indian or Alaska Native,larceny,69
AR,2017,American Indian or Alaska Native,larceny,62
AR,2018,American Indian or Alaska Native,larceny,62
AR,2010,White,larceny,23683
AR,2011,White,larceny,26773
AR,2012,White,larceny,28799
AR,2013,White,larceny,29647
AR,2014,White,larceny,28961
AR,2015,White,larceny,28375
AR,2016,White,larceny,25604
AR,2017,White,larceny,23572
AR,2018,White,larceny,23554
AR,2010,Unknown,larceny,25636
AR,2011,Unknown,larceny,28141
AR,2012,Unknown,larceny,28300
AR,2013,Unknown,larceny,26799
AR,2014,Unknown,larceny,25106
AR,2015,Unknown,larceny,23973
AR,2016,Unknown,larceny,24930
AR,2017,Unknown,larceny,24744
AR,2018,Unknown,larceny,23124
AR,2010,Asian,motor-vehicle-theft,16
AR,2011,Asian,motor-vehicle-theft,13
AR,2012,Asian,motor-vehicle-theft,44
AR,2013,Asian,motor-vehicle-theft,10
AR,2014,Asian,motor-vehicle-theft,6
AR,2015,Asian,motor-vehicle-theft,7
AR,2016,Asian,motor-vehicle-theft,8
AR,2017,Asian,motor-vehicle-theft,15
AR,2018,Asian,motor-vehicle-theft,55
AR,2010,Native Hawaiian,motor-vehicle-theft,0
AR,2011,Native Hawaiian,motor-vehicle-theft,0
AR,2012,Native Hawaiian,motor-vehicle-theft,0
AR,2013,Native Hawaiian,motor-vehicle-theft,0
AR,2014,Native Hawaiian,motor-vehicle-theft,0
AR,2015,Native Hawaiian,motor-vehicle-theft,0
